課程代碼,course_name, ,人數指標,影片個數x,問題個數y,討論個數z,總登入次數, ,登入指標,影片觀看度a,作答度b,討論度c,參與指標,熱門參與度
SE31,解開身體密碼-健康停損so easy,50,30,66,65,0,108,2.16,3.27,4.82,4.65,0,3.17,8.56
D17,從車庫到金庫─看見台灣企業生命力(企業專班-歐都納),49,29.4,92,45,0,174,3.551020408,3.86,4.35,5.62,0,3.33,8.65
SE47,為公司把把脈,49,29.4,73,84,0,138,2.816326531,3.35,3.83,1.8,0,1.9,7.69
SE48,Wow！視覺特效Show一手！,49,29.4,96,68,0,100,2.040816327,2.13,2.85,0.75,0,1.22,7.03
SE19,愛情關鍵救援16小時：家事事件實務,49,29.4,62,0,0,95,1.93877551,3.13,2.04,0,0,0.69,6.92
SE95,設計思考與實踐,49,29.4,53,0,0,73,1.489795918,2.81,1.31,0,0,0.45,6.71
XF04,工業節能教學聯盟中心─火與能源,48,28.8,60,101,14,214,4.458333333,4.41,2.6,10.23,4,5.58,9.99
SE94,T型人才如何教,46,27.6,28,25,0,74,1.608695652,5.75,1.4,1.3,0,0.91,7.21
E23,延緩失能：退化性膝關節炎自我照顧,45,27,47,42,3,207,4.6,9.79,8.94,13.02,17.6,13.14,15.24
D19,從車庫到金庫─看見台灣企業生命力(台中榮民服務處),44,26.4,23,14,1,306,6.954545455,30.24,16.7,17.53,45.6,26.51,27.23
E09,線性代數(一)向量空間,44,26.4,38,82,2,171,3.886363636,4.74,3.23,3.27,9.2,5.21,9.36
SE12,太陽能與生活,44,26.4,24,0,0,102,2.318181818,9.66,7.29,0,0,2.48,8.7
SE78,從車庫到金庫─看見台灣企業生命力,43,25.8,104,45,0,71,1.651162791,1.59,1.34,1.03,0,0.8,5.96
E19,普通化學-原子結構與原子間的鍵結,42,25.2,49,115,0,190,4.523809524,3.93,6.75,6.79,0,4.54,8.55
D16,從車庫到金庫─看見台灣企業生命力(企業專班 ─ 味丹企業),42,25.2,24,11,0,135,3.214285714,13.39,8.83,5.84,0,4.93,10.68
SE29,數位系統基礎與電路化簡技術,41,24.6,93,56,1,135,3.292682927,3.54,6.03,1,0,2.38,7.06
SE28,都市農業,41,24.6,41,0,0,87,2.12195122,5.18,7.5,0,0,2.55,7.48
SE56,漫話漫畫,41,24.6,46,21,0,66,1.609756098,3.5,3.23,0,0,1.1,6.28
F17,顛倒用-社會企業創業與管理,40,24,39,40,19,168,4.2,10.5,5.64,12.81,0.4,6.28,10.67
SD37,電子與半導體微學程：半導體元件物理,40,24,40,0,0,74,1.85,4.62,6.62,0,0,2.25,7.08
F22,思倫理看科學 - 一場思辨之旅,40,24,65,320,0,61,1.525,0.48,0.15,0,0,0.05,4.93
SE73,漫步在雲端,39,23.4,50,235,0,79,2.025641026,0.86,6.51,0.43,0,2.35,6.27
SE30,傾聽台灣．文化與古蹟,37,22.2,60,120,0,161,4.351351351,3.63,4.01,2.73,0,2.26,6.52
SE54,認識西洋文明,37,22.2,32,0,0,86,2.324324324,7.26,2.2,0,0,0.75,6.34
SE67,易數邏輯,37,22.2,73,70,0,83,2.243243243,3.07,3.7,1.93,0,1.9,6.19
SE96,職場倫理與工作態度,36,21.6,67,0,0,59,1.638888889,2.45,1,0,0,0.34,5.01
SE61,華語文教學導論,35,21,39,0,0,107,3.057142857,7.84,8.42,0,0,2.86,7.49
SE101,設計行不行,35,21,0,0,0,62,1.771428571,0,0,0,0,0,4.2
F24,多媒體技術及應用,35,21,0,342,0,53,1.514285714,0.44,0,0.17,0,0.05,4.32
SE20,清心減壓保健康,34,20.4,64,30,0,82,2.411764706,3.77,2.9,0,0,0.98,5.42
SE42,從社企「力」到社企「利」,34,20.4,88,80,0,77,2.264705882,2.57,0.74,3.31,0,1.34,5.4
XF03,儲能教學聯盟中心─儲能系統電化學之原理,33,19.8,37,76,3,345,10.45454545,13.76,33.74,84.89,4,40.81,31.19
SE82,電腦輔助設計與製造,32,19.2,70,0,0,82,2.5625,3.66,7.68,0,0,2.61,6.14
SE63,微積分拾級（一）,32,19.2,68,293,0,75,2.34375,0.8,2.85,0.62,0,1.17,4.7
SE64,微積分拾級（一）,32,19.2,68,293,0,75,2.34375,0.8,2.85,0.62,0,1.17,4.7
F25,音樂與健康,32,19.2,0,17,0,36,1.125,6.62,0,8.09,0,2.67,6.76
F13,儲能技術原理,31,18.6,59,177,2,135,4.35483871,2.46,5.96,10.01,6.4,7.44,8.68
SE58,筆尖下的律動與感動,31,18.6,21,70,0,75,2.419354839,3.46,2.15,2.3,0,1.49,5.31
SE33,臺灣當代劇場面面觀,31,18.6,51,52,0,55,1.774193548,3.41,2.21,0,0,0.75,4.85
SE21,助人專業倫理,30,18,56,0,0,69,2.3,4.11,7.26,0,0,2.47,5.9
SE25,公民社會的哲學思考,30,18,74,0,0,66,2.2,2.97,0.95,0,0,0.32,4.39
E12,畫出心中的夢--在地型產業創新發展實務,28,16.8,52,10,1,101,3.607142857,6.94,6.8,7.14,0,4.67,7.55
SE22,e時代的生涯發展,27,16.2,190,0,0,58,2.148148148,1.13,2.16,0,0,0.74,3.91
F16,併軌-發現社會企業,26,15.6,24,24,5,123,4.730769231,19.71,4.81,40.71,0,15.07,16.1
SE57,文化點金術-文化觀光創意行銷實作,26,15.6,17,42,0,57,2.192307692,5.22,3.62,4.03,0,2.56,5.7
SE99,楚漢相爭之職場競爭力,26,15.6,100,80,0,46,1.769230769,1.77,1.08,0.48,0,0.52,3.79
SE83,國際化策略,25,15,34,0,0,45,1.8,5.29,3.39,0,0,1.15,4.75
SE49,病毒與人生,24,14.4,62,138,0,55,2.291666667,1.66,2.62,0.36,0,1.01,3.82
SE44,併軌 ─ 發現社會企業,23,13.8,24,70,1,78,3.391304348,4.84,8.33,18.63,0,8.98,9.12
SE46,福爾摩沙深度遊-中部篇,23,13.8,116,50,0,62,2.695652174,2.32,3.71,4.35,0,2.7,4.84
SE100,超級英雄的物理學－從動漫畫學物理,23,13.8,45,86,0,50,2.173913043,2.53,2.71,1.97,0,1.57,4.21
